bd,wl,umax,,
4.2,0.9,1.832213434,8.782068,-379%
4.2,1,3.668543754,8.291484,-126%
4.2,1.1,5.50822006,7.897148,-43%
4.3,0.7,7.351529046,10.073875,-37%
4.3,0.8,9.197703658,9.28124,-1%
4.3,0.9,11.04737007,8.584853,22%
4.3,1,1.831187864,7.984714,-336%
4.3,1.1,3.666334103,7.480823,-104%
4.4,0.7,5.504684154,10.108262,-84%
4.4,0.8,7.346400212,9.206072,-25%
4.4,0.9,9.190747674,8.40013,9%
4.4,1,11.03825446,7.690436,30%
4.4,1.1,1.830226583,7.07699,-287%
4.5,0.7,3.66425472,10.155141,-177%
4.5,0.8,5.501360325,9.143396,-66%
4.5,0.9,7.341598964,8.227899,-12%
4.5,1,9.184200358,7.40865,19%
4.5,1.1,11.02969407,6.685649,39%
4.6,0.7,1.829317075,10.214512,-458%
4.6,0.8,3.662295454,9.093212,-148%
4.6,0.9,5.498213814,8.06816,-47%
4.6,1,7.33707024,7.139356,3%
4.6,1.1,9.178039623,6.3068,31%
4.7,0.7,11.02162952,10.286375,7%
4.7,0.8,1.828459853,9.05552,-395%
4.7,0.9,3.660451442,7.920913,-116%
4.7,1,5.495241814,6.882554,-25%
4.7,1.1,7.332790855,5.940443,19%
4.8,0.7,9.172251762,10.37073,-13%
4.8,0.8,11.01403588,9.03032,18%
4.8,0.9,1.827649822,7.786158,-326%
4.8,1,3.658703921,6.638244,-81%
4.8,1.1,5.492435657,5.586578,-2%
4.9,0.7,7.32875518,10.467577,-43%
4.9,0.8,9.166792111,9.017612,2%
4.9,0.9,11.0068484,7.663895,30%
4.9,1,1.826887574,6.406426,-251%
4.9,1.1,3.657056331,5.245205,-43%
5,0.7,5.489783899,10.576916,-93%
5,0.8,7.324920163,9.017396,-23%
5,0.9,9.161630035,7.554124,18%
5,1,11.00007359,6.1871,44%
5,1.1,1.826167074,4.916324,-169%
4,0.1,3.655482845,14.850694,-306%
4,0.2,5.487260409,13.809236,-152%
4,0.3,7.321298673,12.864026,-76%
4,0.4,9.156749003,12.015064,-31%
4,0.5,10.99368113,11.26235,-2%
4,0.6,1.825484891,10.605884,-481%
4.1,0.1,3.653997161,15.504935,-324%
4.1,0.2,5.484866095,14.353922,-162%
4.1,0.3,7.317863314,13.299157,-82%
4.1,0.4,9.152115253,12.34064,-35%
4.1,0.5,10.98760275,11.478371,-4%
4.1,0.6,12.9247542,10.71235,17%
4.2,0.1,14.78259081,16.171668,-9%
4.2,0.2,16.64160956,14.9111,10%
4.2,0.3,18.49724903,13.74678,26%
